input,output,instruction,context,target,out_text,new_target,new_out
The stock market is booming.,positive,What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}.,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The stock market is booming. Answer:,positive,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The stock market is booming. Answer:  positive,positive,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The stock market is booming. Answer:  positive
The company announced a significant loss.,negative,What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}.,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The company announced a significant loss. Answer:,negative,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The company announced a significant loss. Answer:  negative,negative,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The company announced a significant loss. Answer:  negative
Investors are cautiously optimistic about the new policy changes.,neutral,What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}.,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: Investors are cautiously optimistic about the new policy changes. Answer:,neutral,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: Investors are cautiously optimistic about the new policy changes. Answer:  positive,neutral,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: Investors are cautiously optimistic about the new policy changes. Answer:  positive
The stock market is booming.,positive,What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}.,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The stock market is booming. Answer:,positive,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The stock market is booming. Answer:  positive,positive,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The stock market is booming. Answer:  positive
The company announced a significant loss.,negative,What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}.,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The company announced a significant loss. Answer:,negative,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The company announced a significant loss. Answer:  negative,negative,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The company announced a significant loss. Answer:  negative
Investors are cautiously optimistic about the new policy changes.,neutral,What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}.,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: Investors are cautiously optimistic about the new policy changes. Answer:,neutral,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: Investors are cautiously optimistic about the new policy changes. Answer:  positive,neutral,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: Investors are cautiously optimistic about the new policy changes. Answer:  positive
The stock market is booming.,positive,What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}.,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The stock market is booming. Answer:,positive,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The stock market is booming. Answer:  positive,positive,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The stock market is booming. Answer:  positive
The company announced a significant loss.,negative,What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}.,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The company announced a significant loss. Answer:,negative,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The company announced a significant loss. Answer:  negative,negative,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The company announced a significant loss. Answer:  negative
Investors are cautiously optimistic about the new policy changes.,neutral,What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}.,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: Investors are cautiously optimistic about the new policy changes. Answer:,neutral,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: Investors are cautiously optimistic about the new policy changes. Answer:  positive,neutral,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: Investors are cautiously optimistic about the new policy changes. Answer:  positive
The stock market is booming.,positive,What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}.,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The stock market is booming. Answer:,positive,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The stock market is booming. Answer:  positive,positive,Instruction: What is the sentiment of this text? Please choose an answer from {negative/neutral/positive}. Input: The stock market is booming. Answer:  positive
